# 第121回 夏メック模試 — 個人成績表PDF 2ページ目「正誤一覧」の転記（2026-09-14 全国集計・3032人）
# 列: key 正答 解答 全国正答率(%) 印
#   印: 禁=禁忌肢を解答 / 外=外科 / 解=解剖生理 / 計=計算（MEC の「外解計」列）
#   計算問題は桁ごとの行（74-1/74-2/74-3）を1つの桁文字列へ畳んだ（全国正答率は桁の行で同一だった）
# ⚠️ ここは転記の記録。カルテが読む正本は mock_data/m121s_rates.js（_work/build_mock_m121s_rates.js が作る）
# 属（MEC の科目略号）は PDF にだけあり、印（禁外解計）は 2026-09-10 版から引き継いだ（問題の属性で集計日によって変わらない）
D17	a	e	22.8
D18	d	d	44.1	外
D19	a	a	76.4
D20	d	d	75.1
D21	d	d	86.4
D22	d	d	89.5	外
D23	d	d	25.0
D24	a	a	79.0	外
D25	e	e	55.8
D26	e	e	53.1
D27	b	b	74.4
D28	c	e	57.0
D29	d	e	64.0
D30	e	e	92.3
D31	b	b	71.7
D32	a	a	61.5
D33	e	e	61.2
D34	d	d	95.2
D35	c	d	84.1
D36	c	c	60.4
D37	c	c	84.5
D38	d	d	67.7
D39	a	a	96.4
D40	c	d	19.7
D41	a	a	79.8
D42	b	a	93.4
D43	d	d	74.4
D44	d	d	57.5
D45	a	a	52.6
D46	c	c	60.6
D47	c	c	91.1
D48	d	d	51.6
D49	c	c	75.4
D50	e	e	85.9
D51	c	c	89.1
D52	a	a	91.3
D53	b	e	56.7
D54	d	d	69.9
D55	c	c	86.3
D56	d	d	66.7	外
D57	d	d	55.2
D58	d	e	48.6
D59	e	e	92.7
D60	b	b	28.6
D61	c	c	43.8
D62	e	e	97.5
D63	e	e	87.0
D64	c	c	72.7
D65	bd	bd	74.4
D66	ce	ce	55.1
D67	ce	ce	65.9
D68	cd	cd	45.4
D69	bc	bc	69.0
D70	ae	be	30.6
D71	ac	ac	70.1
D72	bd	bd	78.8
D73	bc	bc	84.7
D74	acd	acd	97.9
D75	15	15	89.0	計
E1	c	c	90.8
E2	b	b	65.9
E3	a	a	69.7
E4	c	a	14.1
E5	d	d	95.6
E6	b	b	93.2
E7	c	c	87.6
E8	b	b	98.8
E9	c	c	59.4
E10	e	e	85.8
E11	a	a	81.9
E12	d	d	97.7
E13	d	d	95.2
E14	a	a	91.4
E15	e	e	98.9
E16	d	d	54.5
E17	d	d	91.1
E18	e	e	89.9
E19	e	e	89.7
E20	e	e	95.5
E21	e	e	87.5
E22	b	b	67.3
E23	e	e	71.6
E24	b	b	98.8
E25	e	b	84.1
E26	e	e	92.0	外
E27	d	d	95.5	外
E28	a	a	80.1
E29	d	d	86.8
E30	a	a	96.2
E31	d	d	94.5
E32	b	b	74.4
E33	e	e	75.7
E34	d	d	86.7
E35	b	b	94.9
E36	d	d	95.0
E37	a	a	91.3
E38	e	e	96.4
E39	b	b	91.8
E40	a	a	97.9
E41	c	c	91.9
E42	c	e	87.7
E43	e	e	99.0
E44	c	c	96.9
E45	e	e	71.7
E46	c	d	53.7
E47	e	e	75.7
E48	b	b	83.2
E49	b	b	97.1
E50	d	d	98.1
F1	e	e	48.0
F2	b	b	49.7
F3	e	e	45.3
F4	e	e	84.0
F5	c	e	2.1
F6	a	d	18.3
F7	a	a	63.1
F8	c	c	99.0
F9	d	d	92.6
F10	e	e	71.6
F11	d	d	64.8
F12	a	e	66.2
F13	d	d	84.2	解
F14	c	c	91.0
F15	e	e	98.4
F16	e	e	51.0	解
F17	d	c	20.8
F18	e	e	96.8
F19	e	e	95.5
F20	b	a	18.9
F21	d	d	60.3
F22	cd	cd	57.1
F23	ce	ce	64.2
F24	bd	ad	21.9
F25	cd	de	21.9
F26	de	de	38.7
F27	ad	ae	63.4
F28	ce	ce	89.9
F29	be	be	83.1
F30	de	bd	39.0
F31	ac	ac	61.2	解
F32	ae	ae	37.8
F33	abe	abe	25.0	解
F34	cde	ade	31.1
F35	ace	ace	35.8
F36	b	c	41.7
F37	d	d	90.7
F38	c	c	85.1
F39	d	d	56.4
F40	c	c	63.8
F41	a	a	65.4
F42	e	e	98.2
F43	b	c	40.2
F44	d	d	57.3
F45	d	d	80.5
F46	d	d	64.1
F47	d	d	82.8
F48	d	e	46.1
F49	d	d	30.3
F50	d	d	98.5
F51	c	d	26.7
F52	b	c	15.1
F53	d	d	58.3
F54	c	e	60.9
F55	b	b	73.8
F56	d	c	59.9
F57	d	d	82.1
F58	ab	ab	95.9
F59	be	be	61.9
F60	acd	acd	63.1
F61	ae	ae	76.0	外
F62	abc	abc	34.3	外
F63	cd	cd	66.8
F64	e	e	64.7
F65	ac	ac	72.8
F66	ae	ce	32.0
F67	a	a	76.6
F68	d	d	96.1
F69	e	e	87.2	外
F70	de	de	56.0
F71	c	c	49.6
F72	a	a	64.9	外
F73	d	d	92.8
F74	e	e	88.9
F75	e	e	83.0
